,공원명,면적,지역,공원주소,X좌표(WGS84),Y좌표(WGS84),구주소,lat,lng
0,남산도시자연공원,2896887.0,중구,서울특별시 중구 삼일대로 231(예장동),126.9903773,37.5501402,서울 중구 예장동 산 5-6,126.989316855952,37.5524979951415
1,길동생태공원,80683.0,강동구,서울특별시 강동구 천호대로 1291(길동생태공원) ,127.1547791,37.5403935,서울 강동구 길동 산 7-3,127.15541997637,37.5408201666847
3,서울숲,480994.0,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) ,127.0417982,37.5430717,서울 성동구 성수동1가 678-1,127.037617759165,37.5443222301513
4,월드컵공원,2284085.0,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),126.87890700000001,37.571805,서울 마포구 성산동 390-1,126.897635431027,37.5631939895966
5,광화문시민열린마당,8948.1,종로구,서울특별시 종로구 세종로 76-2,126.9780227,37.575044899999995,서울 종로구 세종로 76-14,126.978061264646,37.575017745234
6,진관근린공원(구파발폭포),983791.0,은평구,서울특별시 은평구 진관동 393,126.9192155,37.6370244,서울 은평구 진관동 393,126.919070865425,37.6371081635586
7,중마루근린공원,6456.0,영등포구,서울특별시 영등포구 영등포동2가 222,126.9112668,37.519832,서울 영등포구 영등포동2가 222,126.911545250304,37.5196617260628
8,응봉공원,80309.0,성동구,서울특별시 성동구 금호동1가 산1-72,127.0217653,37.5572281,서울 성동구 금호동2가 산 9-3,127.016780723714,37.5526738816294
9,매화근린공원,1980.4,강서구,서울특별시 강서구 등촌동 630-14,126.86115,37.5575833,서울 강서구 등촌동,126.860946982509,37.5574585792214
10,성수근린공원,5197.7,성동구,서울특별시 성동구 성수2가 3동 302-25,127.05240230000001,37.5448144,서울 성동구 성수동2가 302-1,127.052446160552,37.5448499668206
11,샛마을근린공원,11467.0,강동구,서울특별시 강동구 명일1동 288,127.1471618,37.5504807,서울 강동구 명일동 288,127.147901857504,37.5498037664393
12,여의도근린공원,229539.0,영등포구,서울특별시 영등포구 여의공원로 68 (여의도동),126.922377,37.526129,서울 영등포구 여의도동 85,126.93512931714196,37.52638860108943
13,간데메근린공원,15179.7,동대문구,서울특별시 동대문구 서울시립대로2길 59(간데메공원),127.04886440000001,37.57324379999999,서울 동대문구 답십리동 471,127.048721478311,37.5733627114637
14,훈련원근린공원,16734.6,중구,서울특별시 중구 을지로 227,127.0038188,37.5675245,서울 중구 을지로5가 403-1,127.003671928773,37.5673684751397
15,영등포근린공원,61544.0,영등포구,서울특별시 영등포구 신길로 275,126.91066200000002,37.515423,서울 영등포구 여의도동 85,126.93512931714196,37.52638860108943
16,보라매근린공원,424106.0,동작구,서울특별시 동작구 여의대방로20길 33(보라매공원),126.91828899999999,37.492333,서울 동작구 신대방동 722,126.92051756183096,37.49328307697023
17,어린이대공원,560552.0,광진구,서울특별시 광진구 능동로 216(어린이대공원),127.0809212,37.5498987,서울 광진구 능동 259-1,127.0837947580967,37.55147494441319
18,천호근린공원,26696.8,강동구,서울특별시 강동구 올림픽로 702(천호공원),127.1263451,37.5444741,서울 강동구 천호동 360,127.12642863661,37.5449885478155
19,용산가족공원,75900.0,용산구,서울특별시 용산구 서빙고로 185,126.98333500000001,37.522226,서울 용산구 용산동6가 168-6,126.983574610978,37.5217984491514
20,독립근린공원,113021.7,서대문구,서울특별시 서대문구 통일로251(독립공원),126.956771,37.5738289,서울 서대문구 현저동 101,126.955398396095,37.5744058898155
21,낙산근린공원,201779.0,종로구,서울특별시 종로구 낙산길 41 (우) 03085,127.00758700000002,37.580477,서울 종로구 동숭동 산 2-10,127.007521763748,37.58056966858
22,양재시민의숲,258991.0,서초구,서울특별시 서초구 매헌로 99 (양재동),127.03504199999999,37.471225,서울 서초구 양재동 236,127.035871693026,37.4709233091882
23,관악산도시자연공원,10420819.08,관악구,서울특별시 관악구 관악로 1(관악산공원),126.96413000000001,37.445208,서울 관악구 신림동,126.947220872691,37.4584938214641
24,효창근린공원,171294.1,용산구,서울특별시 용산구 효창원로 177-18,126.95993,37.545234,서울 용산구 효창동 255,126.961037545693,37.5450822374747
25,감로천생태공원(관악산),15000.0,금천구,서울특별시 금천구 독산4동 371?375 373일대,126.9079509,37.469625,서울 금천구 독산동 373,126.9079509,37.469625
26,개운산근린공원,297926.0,성북구,서울특별시 성북구 북악산로 949-73(돈암동 6-1),127.0252858,37.596583700000004,서울 성북구 돈암동 산 6-1,127.02641548812386,37.59944724699987
